id,console-name,product-name,loose-price,cib-price,new-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,asin,epid,gamestop-price,gamestop-trade-price
16491,3DO,20th Century Video Almanac,$4.53,$29.99,$14.99,$0.96,$4.79,$9.30,$30.99,$3.20,$15.99,,56244593,,
16492,3DO,3D Atlas,$20.00,$19.99,$25.95,$6.30,$20.99,$6.30,$20.99,$8.10,$26.99,,56235798,,
16493,3DO,3DO Buffet,$0.99,$5.50,$7.99,,$1.99,$1.20,$5.79,$1.70,$8.39,B0012Y31A4,6238,,
16662,3DO,3DO Console,$270.08,,$849.00,$113.60,$283.99,$131.20,$327.99,$356.40,$890.99,B001BO2O1C,,,
16494,3DO,3DO Interactive Sampler CD 1,$5.01,$7.50,$22.46,$1.06,$5.29,$1.60,$7.89,$7.20,$23.99,,56253243,,
16495,3DO,3DO Interactive Sampler CD 2,$3.77,$8.99,$14.01,$0.80,$3.99,$1.90,$9.39,$3.00,$14.99,,56247030,,
35962,3DO,3DO Maniac Pack,$69.99,$75.00,,$29.20,$72.99,$31.60,$78.99,,,B001FMB600,112549119,,
35943,3DO,Air Warrior,,,,,,,,,,,56227741,,
16496,3DO,Alone in the Dark,$14.99,$20.00,$31.00,$3.20,$15.99,$6.30,$20.99,$9.90,$32.99,,6141,,
16497,3DO,Alone in the Dark 2,$35.00,$23.50,$32.76,$14.80,$36.99,$17.60,$43.99,$10.20,$33.99,B0012ZGHC2,6382,,
16498,3DO,Animals!,$14.95,$8.99,$8.99,$3.20,$15.99,$3.80,$18.99,$1.90,$9.39,,56241556,,
16502,3DO,BC Racers,$30.00,$39.99,$54.99,$9.60,$31.99,$16.80,$41.99,$23.20,$57.99,B000BUPC48,8465,,
16499,3DO,Ballz: The Directors Cut,$9.50,$59.95,$9.95,$2.00,$9.99,$25.20,$62.99,$2.00,$9.99,,56240126,,
16500,3DO,Battle Chess,$6.89,$1.99,$9.95,$1.44,$7.19,$1.80,$8.99,$2.00,$9.99,,58028219,,
16501,3DO,BattleSport,$13.99,$29.99,$13.50,$3.00,$14.99,$9.30,$30.99,$2.80,$13.99,B001CN3PYM,8302,,
16504,3DO,BladeForce,$14.99,$21.99,$21.49,$3.20,$15.99,$6.90,$22.99,$6.90,$22.99,B000BUMC9Q,5993,,
16505,3DO,Blonde Justice,$44.00,$65.00,$69.95,$18.40,$45.99,$27.20,$67.99,$29.20,$72.99,,56241892,,
16506,3DO,Brain Dead 13,$4.25,$10.00,$44.00,$0.90,$4.49,$2.20,$10.99,$18.40,$45.99,B001CNA8QK,6634,,
16507,3DO,Burning Soldier,$8.99,$24.01,$37.94,$1.88,$9.39,$7.50,$24.99,$16.00,$39.99,B000BUNE1G,56235808,,
16508,3DO,Bust-A-Move,$18.00,$79.99,$46.00,$3.80,$18.99,$33.60,$83.99,$19.20,$47.99,B000BTI5AW,6003,,
16509,3DO,C.P.U. Bach,$16.80,$8.99,$14.99,$3.60,$17.99,$6.60,$21.99,$3.20,$15.99,B000I3ODRU,56237218,,
16510,3DO,Cannon Fodder,$51.00,$28.99,$20.49,$21.60,$53.99,$25.20,$62.99,$6.60,$21.99,B000UFN3MC,8146,,
16511,3DO,Captain Quazar,$58.45,$69.95,$9.99,$24.40,$60.99,$29.20,$72.99,$2.00,$9.99,B000QUFJJG,56205814,,
16512,3DO,Carrier: Fortress at Sea,$17.99,$18.74,$31.95,$3.80,$18.99,$4.00,$19.99,$10.20,$33.99,,56239574,,
16513,3DO,Casper,$7.99,$399.99,$42.00,$1.68,$8.39,$168.00,$419.99,$17.60,$43.99,,8123,,
16514,3DO,Club 3DO: Station Invasion,$13.99,$11.95,$32.99,$3.00,$14.99,$3.60,$17.99,$10.50,$34.99,,56236671,,
16515,3DO,Corpse Killer,$15.85,$29.95,$59.99,$3.40,$16.99,$9.30,$30.99,$25.20,$62.99,,8097,,
16516,3DO,Coven,$65.00,$109.00,$109.99,$27.20,$67.99,$45.60,$113.99,$46.00,$114.99,,56257141,,
16517,3DO,Cowboy Casino,$6.28,$9.99,$39.94,$1.32,$6.59,$2.00,$9.99,$16.80,$41.99,B000BTSTOY,56249397,,
16518,3DO,Crash 'N Burn,$13.97,$14.50,$29.99,$3.00,$14.99,$3.00,$14.99,$9.30,$30.99,B000GJ3HF0,56237020,,
16519,3DO,Creature Shock,$19.99,$19.88,$50.00,$6.30,$20.99,$7.50,$24.99,$21.20,$52.99,B0009WMHRS,8156,,
16520,3DO,Crime Patrol,$11.99,$32.99,$59.94,$2.60,$12.99,$10.50,$34.99,$25.20,$62.99,B000UFJ7I6,8133,,
16535,3DO,Crime Patrol 2 Drug Wars,$16.99,$79.99,$9.45,$3.60,$17.99,$33.60,$83.99,$2.00,$9.89,,56227751,,
16521,3DO,Cyberdillo,$13.99,$149.99,$50.00,$3.00,$14.99,$62.80,$156.99,$21.20,$52.99,B000BUNE2U,56227171,,
16522,3DO,Cyberia,$39.99,$35.00,$26.86,$16.80,$41.99,$19.60,$48.99,$8.40,$27.99,B001CMYB28,8424,,
16523,3DO,D,$15.88,$44.89,$49.99,$3.40,$16.99,$18.80,$46.99,$20.80,$51.99,,56236186,,
16524,3DO,Daedalus Encounter,$14.99,$41.00,$40.00,$3.20,$15.99,$17.20,$42.99,$16.80,$41.99,B000K0GEFU,6047,,
16525,3DO,DeathKeep,$14.95,$36.00,$44.22,$3.20,$15.99,$15.20,$37.99,$18.40,$45.99,B000BUDS44,56252129,,
16527,3DO,Demolition Man,$18.75,$23.59,$41.00,$4.00,$19.99,$7.50,$24.99,$17.20,$42.99,B000QXG7IU,8475,,
16528,3DO,Dennis Miller: That's News to Me,$39.99,$5.55,$46.82,$16.80,$41.99,$19.60,$48.99,$19.60,$48.99,,56253979,,
